cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
0,132,1,impact_per_liquidity_spot_5bps_60s_eth,impact_per_liquidity_spot_5bps_60s,Impact,B2_bookshape,3.6784,1e-06,0.0
0,132,2,impact_per_liquidity_spot_5bps_300s_eth,impact_per_liquidity_spot_5bps_300s,Impact,B2_bookshape,3.1814,0.0,0.0
0,132,3,impact_per_liquidity_spot_5bps_900s_eth,impact_per_liquidity_spot_5bps_900s,Impact,B2_bookshape,2.9497,0.0,0.0
0,132,4,impact_per_liquidity_fut_5bps_300s_btc,impact_per_liquidity_fut_5bps_300s,Impact,B2_bookshape,2.7981,0.0,0.0
0,132,5,impact_per_liquidity_fut_5bps_900s_btc,impact_per_liquidity_fut_5bps_900s,Impact,B2_bookshape,2.7952,0.0,0.0
0,132,6,impact_per_liquidity_fut_5bps_60s_btc,impact_per_liquidity_fut_5bps_60s,Impact,B2_bookshape,2.7908,1e-06,0.0
0,132,7,depth_gradient_bid_fut_struct50_60s_btc,depth_gradient_bid_fut_struct50_60s,Bookshape,B2_bookshape,2.6571,10.545306,2.062623
0,132,8,bps_sym_fut_1s_btc,bps_sym_fut_1s,Price,B6_context,2.4749,29.74139,20.49614
0,132,9,impact_per_liquidity_spot_5bps_60s_btc,impact_per_liquidity_spot_5bps_60s,Impact,B2_bookshape,2.4639,0.0,0.0
0,132,10,pull_rate_spot_2bps_60s_btc,pull_rate_spot_2bps_60s,Liquidity Events,B3_flow,2.4268,0.663547,0.332935
0,132,11,refill_rate_fut_5bps_15s_eth,refill_rate_fut_5bps_15s,Liquidity Events,B3_flow,2.3155,0.298517,0.158663
0,132,12,impact_per_liquidity_spot_2bps_60s_eth,impact_per_liquidity_spot_2bps_60s,Impact,B2_bookshape,2.2283,2e-06,0.0
0,132,13,depth_gradient_bid_fut_struct50_1s_btc,depth_gradient_bid_fut_struct50_1s,Bookshape,B2_bookshape,2.2126,0.332094,0.062612
0,132,14,liq_concentration_bid_fut_struct50_1s_btc,liq_concentration_bid_fut_struct50_1s,Bookshape,B2_bookshape,-2.2126,0.667906,0.937388
0,132,15,depth_gradient_ask_fut_struct50_1s_btc,depth_gradient_ask_fut_struct50_1s,Bookshape,B2_bookshape,2.1866,0.340577,0.065371
0,132,16,median_refill_rate_fut_5bps_15s_eth,median_refill_rate_fut_5bps_15s,Dynamics,B5_dynamics,2.1474,0.271426,0.148987
0,132,17,refill_rate_fut_10bps_15s_eth,refill_rate_fut_10bps_15s,Liquidity Events,B3_flow,2.1387,0.195378,0.09548
0,132,18,refill_rate_fut_10bps_60s_eth,refill_rate_fut_10bps_60s,Liquidity Events,B3_flow,2.119,0.135951,0.074181
0,132,19,refill_rate_fut_5bps_60s_eth,refill_rate_fut_5bps_60s,Liquidity Events,B3_flow,2.105,0.216711,0.12744
0,132,20,median_refill_rate_fut_10bps_15s_eth,median_refill_rate_fut_10bps_15s,Dynamics,B5_dynamics,2.0939,0.179383,0.089013
0,132,21,mad_refill_rate_fut_5bps_60s_eth,mad_refill_rate_fut_5bps_60s,Dynamics,B5_dynamics,2.0851,0.041964,0.014893
0,132,22,pull_rate_spot_2bps_15s_btc,pull_rate_spot_2bps_15s,Liquidity Events,B3_flow,2.0404,0.766993,0.398707
0,132,23,impact_per_liquidity_spot_2bps_300s_eth,impact_per_liquidity_spot_2bps_300s,Impact,B2_bookshape,2.0357,1e-06,0.0
0,132,24,pull_rate_spot_1bps_15s_btc,pull_rate_spot_1bps_15s,Liquidity Events,B3_flow,1.9677,1.124614,0.594568
0,132,25,impact_per_liquidity_spot_5bps_300s_btc,impact_per_liquidity_spot_5bps_300s,Impact,B2_bookshape,1.9578,0.0,0.0
0,132,26,median_refill_rate_fut_5bps_5s_eth,median_refill_rate_fut_5bps_5s,Dynamics,B5_dynamics,1.9242,0.310318,0.161431
0,132,27,refill_rate_spot_10bps_15s_eth,refill_rate_spot_10bps_15s,Liquidity Events,B3_flow,1.9239,0.167678,0.092876
0,132,28,median_refill_rate_spot_10bps_15s_eth,median_refill_rate_spot_10bps_15s,Dynamics,B5_dynamics,1.8563,0.1548,0.087523
0,132,29,impact_per_liquidity_spot_2bps_60s_btc,impact_per_liquidity_spot_2bps_60s,Impact,B2_bookshape,1.8418,0.0,0.0
0,132,30,refill_rate_spot_5bps_15s_eth,refill_rate_spot_5bps_15s,Liquidity Events,B3_flow,1.8248,0.253097,0.161391
0,132,31,refill_rate_fut_5bps_5s_eth,refill_rate_fut_5bps_5s,Liquidity Events,B3_flow,1.8116,0.318076,0.162666
0,132,32,refill_rate_spot_10bps_60s_eth,refill_rate_spot_10bps_60s,Liquidity Events,B3_flow,1.8068,0.121664,0.074599
0,132,33,median_refill_rate_spot_5bps_15s_eth,median_refill_rate_spot_5bps_15s,Dynamics,B5_dynamics,1.7601,0.236305,0.152083
0,132,34,refill_rate_fut_5bps_15s_btc,refill_rate_fut_5bps_15s,Liquidity Events,B3_flow,1.758,0.239744,0.145161
0,132,35,net_cancel_persist_sf_5bps_900s_btc,net_cancel_persist_sf_5bps_900s,Cross-Market,B4_cross_market,-1.7526,0.419142,0.849216
0,132,36,impact_per_liquidity_spot_5bps_900s_btc,impact_per_liquidity_spot_5bps_900s,Impact,B2_bookshape,1.74,0.0,0.0
0,132,37,refill_rate_fut_10bps_60s_btc,refill_rate_fut_10bps_60s,Liquidity Events,B3_flow,1.7356,0.110594,0.06741
0,132,38,depth_notional_bid_struct100_fut_60s_eth,depth_notional_bid_struct100_fut_60s,Bookshape,B2_bookshape,-1.7324,17.142508,17.589998
0,132,39,refill_rate_shock_fut_10bps_60s_btc,refill_rate_shock_fut_10bps_60s,Dynamics,B5_dynamics,1.7226,8.639787,1.946652
0,132,40,volume_spot_60s_eth,volume_spot_60s,Activity,B3_flow,1.7196,8.934018,7.653641
0,132,41,depth_notional_bid_struct50_fut_900s_eth,depth_notional_bid_struct50_fut_900s,Bookshape,B2_bookshape,-1.7163,16.143623,16.612156
0,132,42,mad_refill_rate_spot_10bps_15s_eth,mad_refill_rate_spot_10bps_15s,Dynamics,B5_dynamics,1.7128,0.038192,0.016113
0,132,43,pull_rate_fut_2bps_60s_btc,pull_rate_fut_2bps_60s,Liquidity Events,B3_flow,1.7123,0.586771,0.340416
0,132,44,median_refill_rate_fut_10bps_5s_eth,median_refill_rate_fut_10bps_5s,Dynamics,B5_dynamics,1.709,0.199824,0.097399
0,132,45,ca_range_pct_spread_spot_900s_btceth,ca_range_pct_spread_spot_900s,Cross-Asset,B7_cross_asset,-1.6932,-0.009224,-0.002873
0,132,46,refill_rate_fut_5bps_60s_btc,refill_rate_fut_5bps_60s,Liquidity Events,B3_flow,1.69,0.174273,0.114912
0,132,47,depth_notional_bid_struct50_fut_300s_eth,depth_notional_bid_struct50_fut_300s,Bookshape,B2_bookshape,-1.6825,16.129156,16.601507
0,132,48,median_refill_rate_fut_5bps_15s_btc,median_refill_rate_fut_5bps_15s,Dynamics,B5_dynamics,1.6689,0.219655,0.13539
0,132,49,refill_rate_fut_10bps_5s_eth,refill_rate_fut_10bps_5s,Liquidity Events,B3_flow,1.6581,0.205784,0.098142
0,132,50,mad_net_pressure_spot_1bps_15s_btc,mad_net_pressure_spot_1bps_15s,Dynamics,B5_dynamics,1.6518,0.437976,0.174543
1,538,1,trend_aligned_240m_fut_btc,trend_aligned_240m_fut,Trend,B6_context,-1.1385,-0.66171,0.175363
1,538,2,trend_aligned_60m_fut_btc,trend_aligned_60m_fut,Trend,B6_context,-1.0863,-0.730483,0.134382
1,538,3,ema_slope_200_15m_bps_fut_btc,ema_slope_200_15m_bps_fut,Trend,B6_context,-1.0764,-1.503625,0.655346
1,538,4,ema_slope_50_15m_bps_fut_btc,ema_slope_50_15m_bps_fut,Trend,B6_context,-1.0616,-4.050615,1.492067
1,538,5,price_vs_ema_50_60m_bps_fut_btc,price_vs_ema_50_60m_bps_fut,Trend,B6_context,-1.0575,-162.970108,78.245102
1,538,6,price_vs_ema_200_15m_bps_fut_btc,price_vs_ema_200_15m_bps_fut,Trend,B6_context,-1.0575,-162.970108,78.245102
1,538,7,price_vs_ema_200_240m_bps_fut_btc,price_vs_ema_200_240m_bps_fut,Trend,B6_context,-1.0569,-235.706406,182.266403
1,538,8,ema_slope_200_15m_bps_fut_eth,ema_slope_200_15m_bps_fut,Trend,B6_context,-1.0492,-2.010872,0.643307
1,538,9,price_vs_ema_50_240m_bps_fut_btc,price_vs_ema_50_240m_bps_fut,Trend,B6_context,-1.035,-208.897156,113.782196
1,538,10,price_vs_ema_200_60m_bps_fut_btc,price_vs_ema_200_60m_bps_fut,Trend,B6_context,-1.035,-208.897156,113.782196
1,538,11,trend_aligned_15m_fut_btc,trend_aligned_15m_fut,Trend,B6_context,-1.0242,-0.587361,0.248987
1,538,12,ema_slope_50_15m_bps_fut_eth,ema_slope_50_15m_bps_fut,Trend,B6_context,-1.0194,-5.123986,1.768586
1,538,13,price_vs_ema_200_5m_bps_fut_btc,price_vs_ema_200_5m_bps_fut,Trend,B6_context,-1.0099,-122.400208,55.114399
1,538,14,trend_aligned_15m_fut_eth,trend_aligned_15m_fut,Trend,B6_context,-0.9952,-0.697026,0.093877
1,538,15,trend_aligned_240m_fut_eth,trend_aligned_240m_fut,Trend,B6_context,-0.9881,-0.570632,0.162735
1,538,16,price_vs_ema_50_15m_bps_fut_btc,price_vs_ema_50_15m_bps_fut,Trend,B6_context,-0.9879,-110.633865,49.637657
1,538,17,ema_slope_50_60m_bps_fut_btc,ema_slope_50_60m_bps_fut,Trend,B6_context,-0.9591,-4.708896,2.372326
1,538,18,depth_gradient_ask_spot_struct100_900s_eth,depth_gradient_ask_spot_struct100_900s,Bookshape,B2_bookshape,-0.9483,196.895554,258.567688
1,538,19,liq_concentration_bid_fut_struct50_900s_btc,liq_concentration_bid_fut_struct50_900s,Bookshape,B2_bookshape,-0.9435,858.12738,886.549255
1,538,20,ema_slope_200_60m_bps_fut_btc,ema_slope_200_60m_bps_fut,Trend,B6_context,-0.9329,-1.609285,0.940856
1,538,21,price_vs_va_1d_fut_btc,price_vs_va_1d_fut,Volume Profile,B6_context,-0.929,0.410781,1.045985
1,538,22,ema_slope_50_60m_bps_fut_eth,ema_slope_50_60m_bps_fut,Trend,B6_context,-0.9265,-6.457532,2.23456
1,538,23,trend_aligned_60m_fut_eth,trend_aligned_60m_fut,Trend,B6_context,-0.9101,-0.453532,0.213962
1,538,24,below_prev_week_low_fut_btc,below_prev_week_low_fut,Level Events,B6_context,0.909,0.250929,0.050989
1,538,25,depth_gradient_ask_spot_struct100_300s_eth,depth_gradient_ask_spot_struct100_300s,Bookshape,B2_bookshape,-0.9057,64.530312,86.083572
1,538,26,median_pull_rate_spot_5bps_60s_btc,median_pull_rate_spot_5bps_60s,Dynamics,B5_dynamics,0.8984,2.577264,0.598819
1,538,27,price_vs_va_1d_fut_eth,price_vs_va_1d_fut,Volume Profile,B6_context,-0.8875,0.466543,1.078628
1,538,28,liq_concentration_bid_fut_struct50_300s_btc,liq_concentration_bid_fut_struct50_300s,Bookshape,B2_bookshape,-0.8782,283.431152,293.688843
1,538,29,mad_pull_rate_spot_5bps_60s_btc,mad_pull_rate_spot_5bps_60s,Dynamics,B5_dynamics,0.8738,2.224051,0.461316
1,538,30,price_vs_ema_50_5m_bps_fut_btc,price_vs_ema_50_5m_bps_fut,Trend,B6_context,-0.8682,-72.58461,34.170139
1,538,31,median_refill_rate_spot_10bps_60s_btc,median_refill_rate_spot_10bps_60s,Dynamics,B5_dynamics,0.8675,0.073774,0.052739
1,538,32,ema_slope_200_60m_bps_fut_eth,ema_slope_200_60m_bps_fut,Trend,B6_context,-0.8662,-1.85283,0.928396
1,538,33,liq_concentration_bid_spot_struct50_900s_btc,liq_concentration_bid_spot_struct50_900s,Bookshape,B2_bookshape,-0.8569,698.539001,767.75061
1,538,34,pull_rate_spot_5bps_60s_btc,pull_rate_spot_5bps_60s,Liquidity Events,B3_flow,0.8371,2.425587,0.621745
1,538,35,depth_gradient_ask_spot_struct100_60s_eth,depth_gradient_ask_spot_struct100_60s,Bookshape,B2_bookshape,-0.8317,12.555793,16.869856
1,538,36,z_volume_asym_fut_minus_spot_300s_btc,z_volume_asym_fut_minus_spot_300s,Cross-Market,B4_cross_market,-0.825,0.975835,2.75762
1,538,37,median_refill_rate_spot_5bps_60s_btc,median_refill_rate_spot_5bps_60s,Dynamics,B5_dynamics,0.8112,0.134323,0.10151
1,538,38,depth_gradient_spot_struct100_900s_eth,depth_gradient_spot_struct100_900s,Bookshape,B2_bookshape,-0.791,0.849051,1.078737
1,538,39,net_pressure_persist_fut_5bps_300s_btc,net_pressure_persist_fut_5bps_300s,Dynamics,B5_dynamics,-0.772,0.365,0.395868
1,538,40,liq_concentration_bid_fut_struct50_900s_eth,liq_concentration_bid_fut_struct50_900s,Bookshape,B2_bookshape,-0.7694,221.821655,258.364471
1,538,41,depth_gradient_bid_fut_struct50_900s_btc,depth_gradient_bid_fut_struct50_900s,Bookshape,B2_bookshape,0.7645,25.381544,10.661545
1,538,42,liq_concentration_bid_fut_struct50_300s_eth,liq_concentration_bid_fut_struct50_300s,Bookshape,B2_bookshape,-0.751,71.952713,84.57621
1,538,43,liq_concentration_spot_struct100_900s_eth,liq_concentration_spot_struct100_900s,Bookshape,B2_bookshape,0.7332,1.085301,0.993143
1,538,44,median_pull_rate_spot_5bps_60s_eth,median_pull_rate_spot_5bps_60s,Dynamics,B5_dynamics,0.7309,1.891833,0.489931
1,538,45,depth_notional_ask_struct100_spot_300s_eth,depth_notional_ask_struct100_spot_300s,Bookshape,B2_bookshape,-0.7283,5726692.5,6845055.0
1,538,46,depth_gradient_spot_struct100_300s_eth,depth_gradient_spot_struct100_300s,Bookshape,B2_bookshape,-0.7246,0.85794,1.104683
1,538,47,liq_concentration_ask_spot_struct100_900s_eth,liq_concentration_ask_spot_struct100_900s,Bookshape,B2_bookshape,0.7236,685.488098,638.742371
1,538,48,liq_concentration_ask_spot_struct100_60s_eth,liq_concentration_ask_spot_struct100_60s,Bookshape,B2_bookshape,0.7218,46.741615,43.016209
1,538,49,mad_impact_per_signed_spot_15s_btc,mad_impact_per_signed_spot_15s,Dynamics,B5_dynamics,0.715,0.000596,0.000395
1,538,50,above_prev_day_high_fut_btc,above_prev_day_high_fut,Level Events,B6_context,-0.7145,0.037175,0.384799
2,379,1,broke_prev_day_low_900s_fut_btc,broke_prev_day_low_900s_fut,Level Events,B6_context,2.3062,0.817942,0.106505
2,379,2,broke_prev_day_low_300s_fut_btc,broke_prev_day_low_300s_fut,Level Events,B6_context,2.2174,0.675462,0.078628
2,379,3,broke_prev_day_low_900s_fut_eth,broke_prev_day_low_900s_fut,Level Events,B6_context,2.2109,0.730871,0.09197
2,379,4,broke_prev_day_low_300s_fut_eth,broke_prev_day_low_300s_fut,Level Events,B6_context,2.1362,0.604222,0.067667
2,379,5,below_prev_day_low_fut_btc,below_prev_day_low_fut,Level Events,B6_context,1.8951,0.899736,0.176793
2,379,6,below_prev_day_low_fut_eth,below_prev_day_low_fut,Level Events,B6_context,1.8254,0.852243,0.168692
2,379,7,depth_notional_bid_struct100_fut_300s_eth,depth_notional_bid_struct100_fut_300s,Bookshape,B2_bookshape,1.7026,65525388.0,45120024.0
2,379,8,broke_prev_day_low_60s_fut_eth,broke_prev_day_low_60s_fut,Level Events,B6_context,1.6923,0.369393,0.039552
2,379,9,net_cancel_spot_10bps_60s_eth,net_cancel_spot_10bps_60s,Pressure,B1_imbalance,-1.6903,-5634057.5,289980.125
2,379,10,queue_pressure_spot_10bps_60s_eth,queue_pressure_spot_10bps_60s,Pressure,B1_imbalance,1.666,0.230066,0.000808
2,379,11,queue_pressure_spot_10bps_15s_eth,queue_pressure_spot_10bps_15s,Pressure,B1_imbalance,1.6537,0.26539,-0.006439
2,379,12,depth_notional_bid_struct100_fut_60s_eth,depth_notional_bid_struct100_fut_60s,Bookshape,B2_bookshape,1.6138,18.006857,17.589998
2,379,13,median_queue_pressure_spot_10bps_15s_eth,median_queue_pressure_spot_10bps_15s,Dynamics,B5_dynamics,1.5882,0.239135,-0.002635
2,379,14,broke_prev_day_low_60s_fut_btc,broke_prev_day_low_60s_fut,Level Events,B6_context,1.5647,0.379947,0.047415
2,379,15,queue_pressure_spot_10bps_5s_eth,queue_pressure_spot_10bps_5s,Pressure,B1_imbalance,1.5255,0.278617,-0.009913
2,379,16,median_queue_pressure_spot_10bps_60s_eth,median_queue_pressure_spot_10bps_60s,Dynamics,B5_dynamics,1.5018,0.205238,0.007009
2,379,17,price_vs_ema_50_5m_bps_fut_btc,price_vs_ema_50_5m_bps_fut,Trend,B6_context,-1.4939,-149.518875,34.170139
2,379,18,depth_notional_bid_struct100_spot_1s_eth,depth_notional_bid_struct100_spot_1s,Bookshape,B2_bookshape,1.4295,9168834.0,6157795.5
2,379,19,depth_notional_bid_struct50_fut_60s_eth,depth_notional_bid_struct50_fut_60s,Bookshape,B2_bookshape,1.4227,17.022764,16.596731
2,379,20,net_cancel_spot_10bps_15s_eth,net_cancel_spot_10bps_15s,Pressure,B1_imbalance,-1.3874,-2392749.5,46052.652344
2,379,21,range_pos_fut_3600s_btc,range_pos_fut_3600s,Range,B6_context,-1.3834,0.034357,0.585125
2,379,22,liq_cluster_asymmetry_fut_struct50_300s_eth,liq_cluster_asymmetry_fut_struct50_300s,Bookshape,B2_bookshape,1.3741,0.317664,-0.037099
2,379,23,net_cancel_pressure_spot_5bps_60s_eth,net_cancel_pressure_spot_5bps_60s,Pressure,B1_imbalance,-1.3699,-50168.28125,4668.938965
2,379,24,net_cancel_spot_5bps_60s_eth,net_cancel_spot_5bps_60s,Pressure,B1_imbalance,-1.3699,-3010097.25,280135.96875
2,379,25,price_vs_ema_50_15m_bps_fut_btc,price_vs_ema_50_15m_bps_fut,Trend,B6_context,-1.3646,-171.741531,49.637657
2,379,26,net_cancel_pressure_spot_5bps_60s_btc,net_cancel_pressure_spot_5bps_60s,Pressure,B1_imbalance,-1.3241,-145923.078125,15857.041992
2,379,27,net_cancel_spot_5bps_60s_btc,net_cancel_spot_5bps_60s,Pressure,B1_imbalance,-1.3241,-8755386.0,951422.9375
2,379,28,depth_notional_bid_struct100_fut_900s_eth,depth_notional_bid_struct100_fut_900s,Bookshape,B2_bookshape,1.3159,59432056.0,44938104.0
2,379,29,price_vs_ema_200_5m_bps_fut_btc,price_vs_ema_200_5m_bps_fut,Trend,B6_context,-1.3123,-175.557465,55.114399
