feature_name,family,concept,n_redundant_pairs,max_corr_with,max_corr
lwp_ask_10bps_fut_1s,lwp_variants,lwp_ask_10bps,58,lwp_bid_1bps_fut_1s,1.0
lwp_ask_10bps_spot_1s,lwp_variants,lwp_ask_10bps,58,lwp_bid_2bps_spot_1s,1.0
lwp_ask_1bps_fut_1s,lwp_variants,lwp_ask_1bps,56,lwp_bid_10bps_fut_1s,1.0
lwp_ask_1bps_spot_1s,lwp_variants,lwp_ask_1bps,56,lwp_ask_5bps_spot_1s,1.0
lwp_ask_2bps_fut_1s,lwp_variants,lwp_ask_2bps,54,lwp_mid_1bps_fut_1s,1.0
lwp_ask_2bps_spot_1s,lwp_variants,lwp_ask_2bps,54,lwp_mid_5bps_spot_1s,1.0
lwp_ask_5bps_fut_1s,lwp_variants,lwp_ask_5bps,52,lwp_mid_5bps_fut_1s,1.0
lwp_ask_5bps_spot_1s,lwp_variants,lwp_ask_5bps,52,lwp_mid_5bps_spot_1s,1.0
lwp_ask_struct100_fut_1s,lwp_variants,lwp_ask_struct100,50,lwp_mid_struct100_fut_1s,0.999997
lwp_ask_struct100_spot_1s,lwp_variants,lwp_ask_struct100,50,lwp_mid_struct100_spot_1s,0.999992
lwp_ask_struct50_fut_1s,lwp_variants,lwp_ask_struct50,48,lwp_mid_struct50_fut_1s,0.999999
lwp_ask_struct50_spot_1s,lwp_variants,lwp_ask_struct50,48,lwp_mid_struct50_spot_1s,0.999997
lwp_bid_10bps_fut_1s,lwp_variants,lwp_bid_10bps,46,lwp_bid_5bps_fut_1s,1.0
lwp_bid_10bps_spot_1s,lwp_variants,lwp_bid_10bps,46,lwp_bid_2bps_spot_1s,1.0
lwp_bid_1bps_fut_1s,lwp_variants,lwp_bid_1bps,44,lwp_bid_2bps_fut_1s,1.0
lwp_bid_1bps_spot_1s,lwp_variants,lwp_bid_1bps,44,lwp_bid_2bps_spot_1s,1.0
lwp_bid_2bps_fut_1s,lwp_variants,lwp_bid_2bps,42,lwp_mid_1bps_fut_1s,1.0
lwp_bid_2bps_spot_1s,lwp_variants,lwp_bid_2bps,42,lwp_mid_1bps_spot_1s,1.0
lwp_bid_5bps_fut_1s,lwp_variants,lwp_bid_5bps,40,lwp_mid_2bps_fut_1s,1.0
lwp_bid_5bps_spot_1s,lwp_variants,lwp_bid_5bps,40,lwp_mid_5bps_spot_1s,1.0
lwp_bid_struct100_fut_1s,lwp_variants,lwp_bid_struct100,38,lwp_mid_struct100_fut_1s,0.999997
lwp_bid_struct100_spot_1s,lwp_variants,lwp_bid_struct100,38,lwp_mid_struct100_spot_1s,0.999992
lwp_bid_struct50_fut_1s,lwp_variants,lwp_bid_struct50,36,lwp_mid_10bps_fut_1s,0.999999
lwp_bid_struct50_spot_1s,lwp_variants,lwp_bid_struct50,36,lwp_mid_struct50_spot_1s,0.999997
lwp_mid_1bps_fut_1s,lwp_variants,lwp_mid_1bps,34,lwp_mid_5bps_fut_1s,1.0
lwp_mid_1bps_spot_1s,lwp_variants,lwp_mid_1bps,34,lwp_mid_2bps_spot_1s,1.0
lwp_mid_2bps_fut_1s,lwp_variants,lwp_mid_2bps,32,lwp_mid_5bps_fut_1s,1.0
lwp_mid_2bps_spot_1s,lwp_variants,lwp_mid_2bps,32,lwp_mid_5bps_spot_1s,1.0
lwp_mid_10bps_fut_1s,lwp_variants,lwp_mid_10bps,24,lwp_mid_5bps_fut_1s,1.0
